Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2012-12-29,Lunch,880.0,22.0,9.0,0.0,0.0,0.0,100.0,2040.0,0.0,112.0,12.0,24.0,56.0,20.0,50.0,90.0,50.0
2012-12-30,Breakfast,314.0,10.2,4.8,1.0,1.5,0.2,0.0,175.0,150.0,47.0,5.0,12.0,11.0,15.0,20.0,20.0,10.0
2013-01-01,Breakfast,880.0,22.0,9.0,0.0,0.0,0.0,100.0,2040.0,0.0,112.0,12.0,24.0,56.0,20.0,50.0,90.0,50.0
2013-01-12,Lunch,650.7,20.0,4.0,12.0,8.0,0.0,188.0,191.7,3747.3,52.1,6.2,4.2,73.4,4.0,75.0,8.2,30.6
2013-01-12,Snacks,132.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2013-02-01,Breakfast,1213.0,87.6,29.4,0.0,0.0,0.4,0.0,292.9,0.0,50.8,8.7,23.2,48.7,0.0,0.0,82.0,0.0
2013-02-02,Breakfast,1055.0,74.1,18.9,0.0,0.0,0.2,0.0,173.9,0.0,46.4,10.5,24.8,44.0,0.0,0.0,41.0,0.0
2013-02-02,Snacks,100.0,6.0,1.0,4.0,1.0,0.0,5.0,870.0,60.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
2013-02-14,Breakfast,275.0,9.9,4.9,0.5,3.1,0.0,25.0,242.5,422.5,36.7,2.0,19.6,10.3,15.0,0.0,30.0,60.0
2013-02-14,Lunch,604.3,16.4,2.3,2.0,3.0,0.0,169.3,86.5,533.8,53.2,0.6,0.0,34.1,5.2,0.0,3.7,22.3
2013-02-14,Dinner,489.5,21.2,9.9,1.8,7.3,0.0,105.5,948.0,698.9,42.0,2.3,4.2,32.1,9.8,7.2,18.3,24.0
2013-02-14,Snacks,710.1,15.6,5.3,0.8,2.2,0.0,25.0,306.0,1634.8,134.6,9.2,82.9,20.2,4.5,51.3,31.8,5.1
2013-02-22,Snacks,560.0,9.0,2.0,3.0,3.0,0.0,10.0,380.0,1140.0,118.0,10.0,74.0,10.0,30.0,240.0,60.0,70.0
